id,region,subregion,country,location,lat,lon,month,year,depth,severity_code,bleaching_severity,coral_family,coral_species,percentage_affected,bleaching_duration,mortality_code,mortality,recovery_code,recovery,survey_type,survey_area,water_temperature,other_factors,remarks,source,reference_code,country_code
1,Americas,Eastern Caribbean,Netherlands Antilles,,5.542,125.221,,1998,,3,HIGH,,,51-70,,,,,,,,,,yellow,R@RSEA: UP Marine Science In,0,ANT
2,Asia,Southeast Asia,Philippines,,13.302,121.533,,1998,,3,HIGH,,,71-100,,,,,,,,,,red,R@RSEA: UP Marine Science In,0,PHL
3,Asia,Southeast Asia,Philippines,,12.312,122.196,,1998,,3,HIGH,,,71-100,,,,,,,,,,red,R@RSEA: UP Marine Science In,0,PHL
4,Asia,Southeast Asia,Philippines,,12.15,122.211,,1998,,3,HIGH,,,71-100,,,,,,,,,,red,R@RSEA: UP Marine Science In,0,PHL
5,Asia,Southeast Asia,Philippines,,12.367,122.196,,1998,,3,HIGH,,,71-100,,,,,,,,,,red,R@RSEA: UP Marine Science In,0,PHL
6,Asia,Southeast Asia,Philippines,,9.76,123.74,,1998,,3,HIGH,,,71-100,,,,,,,,,,red,R@RSEA: UP Marine Science In,0,PHL
7,Asia,Southeast Asia,Philippines,Pamilacan Island,9.43333,123.95,,1999,,1,Low,,,6.8-10.1,,,,,,,,,,,R@RSEA: Alan White,0,PHL
8,Asia,Southeast Asia,Philippines,Balicasag Island,9.51667,123.68333,,1999,,2,Medium,,,9-37.7,,,,,,,,,,,R@RSEA: Alan White,0,PHL
9,Asia,Southeast Asia,Philippines,Sumilon Island,9.4,123.36667,,1999,,2,Medium,,,13-45.4,,,,,,,,,,,R@RSEA: Alan White,0,PHL
10,Asia,Southeast Asia,Philippines,Apo Island,9.08333,123.26667,,1999,,2,Medium,,,26.3-49.8,,,,,,,,,,,R@RSEA: Alan White,0,PHL
11,Asia,Southeast Asia,Malaysia,Pulau Payar,6.05,100.04,6,1998,,3,HIGH,,"Acropora spp, massive corals especially patches of Porites",,,3,high for Acropora spp (almost all wiped out on reef crest of main island),,,,,"2 degrees above seasonal high (33C surface, 30C at 20 meter)",,"Acropora spp, massive corals especially patches of Porites",Nora Ibrahim,0,MYS
12,Asia,Southeast Asia,Malaysia,Pulau Payar,6.05,100.04,9,1998,,3,HIGH,,Sea anemonies,,,0,Most of the sea anemone recovered,,,,,"2 degrees above seasonal high (33C surface, 30C at 20 meter)",,Most of sea anemone bleached,Nora Ibrahim,0,MYS
13,Asia,Southeast Asia,Malaysia,Pulau Payar,6.05,100.04,12,1998,,3,HIGH,,barrel sponges (bleached white and sponges disintegrated),,,3,high for barrel sponges (disappeared from reef crest of main island),,,,,"2 degrees above seasonal high (33C surface, 30C at 20 meter)",,,Nora Ibrahim,0,MYS
14,Americas,U.S. Caribbean,Florida (USA),Florida Keys,24.5342,-81.5811,8,1997,,2,Medium,,,,,,,,,,,,,,NOAA database,0,USA_FLO
15,Americas,Mesoamerica,Mexico,mouth into Gulf of California,23.4303,-109.3849,8,1997,,2,Medium,,,,,,,,,,,,,,NOAA database,0,MEX
16,Americas,U.S. Caribbean,Florida (USA),Florida Keys,24.5557,-81.5112,9,1997,,3,HIGH,,,,,,,,,,,,,,NOAA database,0,USA_FLO
17,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,"Palm Island, GBR",-18.7691,146.6305,2,1998,,2,Medium,,,,,3,high mortality (GCRMN 2000),,,,,,,Widespread,NOAA database,0,AUS_GBR
18,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Great Barrier Reef,-17.8847,146.5938,2,1998,,3,HIGH,,,,,,,,,,,,,,NOAA database,0,AUS_GBR
19,Australia,Australia and Papua New Guinea,Australia,"Bundaberg, southernmost point",-24.925,152.5015,2,1998,,2,Medium,,,,,,,,,,,,,,NOAA database,0,AUS
20,Australia,Australia and Papua New Guinea,Australia,Byron Bay (28.37 S),-28.7001,153.6209,2,1998,,1,Low,,,,,,,,,,,,,Minimal bleaching,NOAA database,0,AUS
21,Americas,Southern Tropical America,Ecuador,Wenman Island nr Galapagos Archipelago,0.2732,-91.6261,2,1998,,3,HIGH,,,,,,,,,,,,,severe bleaching,NOAA database,0,ECU
22,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,GBF (central),-18.5253,147.1444,2,1998,,2,Medium,,,,,,,,,,,,,significant bleaching,NOAA database,0,AUS_GBR
23,Australia,Australia and Papua New Guinea,Torres Strait & Great Barrier Reef,Great Barrier Reef (23.5 S),-20.7693,151.0437,2,1998,,2,Medium,,,,,,,,,,,,,,NOAA database,0,AUS_GBR
24,Australia,Australia and Papua New Guinea,Australia,Bundaberg,-24.8362,152.4829,3,1998,,3,HIGH,,,,,,,,,,,,,severe bleaching,NOAA database,0,AUS
25,Americas,Southern Tropical America,Brazil,"Sebasti O, Brazil",-16.9929,-39.1432,3,1998,,1,Low,,,,,,,,,,,,,Minimal bleaching,NOAA database,0,BRA
26,Africa,Eastern Africa,Tanzania,"Mnazi Bay, Tanzania",-10.3477,40.3384,5,1998,,2,Medium,,,,,,,2,50%,,,,,15-25%,"Wilkinson, Clive",0,TZA
