id,disease_type,year,lat,lon,region,subregion,country,location,nearest_town,genus_species,percentage_incidence,mortality_percentage,diseased_percentage,country_code,source
1,Black-band Disease,1981,10.90107,-68.21131,Asia,South Asia,India,Cayo Norte (southern reefs),Morrocoy Park,Diploria strigosa,,,,IND,"Ramos-Flores, T., 1983. Lower marine fungus associated with black line disease in star corals (Montastrea annularis, E.&S.). Biol. Bull. 165:429-435."
2,Black-band Disease,1981,10.90107,-68.21131,Americas,Southern Tropical America,Venezuela,Cayo Norte (southern reefs),Morrocoy Park,Montastrea annularis,,,,VEN,"Ramos-Flores, T., 1983. Lower marine fungus associated with black line disease in star corals (Montastrea annularis, E.&S.). Biol. Bull. 165:429-435."
3,Black-band Disease,1988,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St. John Island,Colpophyllia natans,5,,3.00E-04,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
4,Black-band Disease,1988,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St. John Island,Diploria labyrinthiformis,0.3,,3.00E-04,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
5,Black-band Disease,1988,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St. John Island,Montastrea annularis,0.02,,0.822,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
6,Black-band Disease,1988,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St. John Island,Montastrea cavernosa,1.4,,9.00E-04,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
7,Black-band Disease,1988,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St. John Island,Diploria strigosa,5.5,,0.002,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
8,Black-band Disease,1988,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St. John Island,Siderastrea siderea,0.4,,0.002,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
9,Black-band Disease,1989,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St. John Island,Diploria strigosa,,,,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
10,Black-band Disease,1989,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St. John Island,Montastrea annularis,,,,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
