id,region,subregion,country,program_name,program_code,year,site_code,site_name,lat,lon,water_depth,sources,country_code
1,Australia,Australia and Papua New Guinea,Papua New Guinea,Locally Managed Marine Area,LMMA,1993,Kilu-Tamare;  Kimbe Bay,Gavagava,-5.437,150.093,492 km2,,PNG
2,Australia,Australia and Papua New Guinea,Papua New Guinea,Locally Managed Marine Area,LMMA,1993,Kilu-Tamare; Kimbe Bay,Lady Di,-5.442,150.099,,,PNG
3,Australia,Australia and Papua New Guinea,Papua New Guinea,Locally Managed Marine Area,LMMA,1993,Kilu-Tamare; Kimbe Bay,Limuka,-5.437,150.098,,,PNG
4,Australia,Australia and Papua New Guinea,Papua New Guinea,Locally Managed Marine Area,LMMA,1993,Kilu-Tamare; Kimbe Bay,Madaro,-5.418,150.089,,,PNG
5,Australia,Australia and Papua New Guinea,Papua New Guinea,Locally Managed Marine Area,LMMA,2001,Patanga; Kimbe Bay,Patanga,-5.403,150.074,,"Annisah Sapul, The Nature Conservancy, PO Box 267, Kimbe West New Britain Province, Ph: (675) 9834249, Fax: (675) 983 4783, Email: asapul.tnc@global.net.pg",PNG
6,Australia,Australia and Papua New Guinea,Papua New Guinea,Locally Managed Marine Area,LMMA,2001,Pasiloke; Kimbe Bay,Mapanarua,-5.365,150.067,,,PNG
7,Australia,Australia and Papua New Guinea,Papua New Guinea,Locally Managed Marine Area,LMMA,2001,Pasiloke; Kimbe Bay,Bingi,-5.358,150.067,,,PNG
8,Australia,Australia and Papua New Guinea,Papua New Guinea,Locally Managed Marine Area,LMMA,2001,Pasiloke; Kimbe Bay,Vilangae,-5.361,150.065,,,PNG
9,Australia,Australia and Papua New Guinea,Papua New Guinea,Locally Managed Marine Area,LMMA,2001,Kulungi; Kimbe Bay,Kulungi,-5.531,150.126,,,PNG
10,Australia,Australia and Papua New Guinea,Papua New Guinea,Locally Managed Marine Area,LMMA,2000,Ruango; Kimbe Bay,Ruango,-5.537,150.16,,,PNG
11,Australia,Australia and Papua New Guinea,Papua New Guinea,Locally Managed Marine Area,LMMA,2004,Garille; Kimbe Bay,Garille,-5.372,150.074,,,PNG
12,Australia,Australia and Papua New Guinea,Papua New Guinea,Locally Managed Marine Area,LMMA,1997,Sinub-Riwo; Madang,Sinub-Riwo,-5,145,,"Aaron Jenkins, Email: apjenkins@connect.com.fj or Rebecca Samuel, Email: rsamuel@wwfpacific.org.pg",PNG
13,Pacific,Micronesia,Federated States of Micronesia,Locally Managed Marine Area,LMMA,2001,"Enipein Powe, Enipein Pah, Soumwei, Mwoakot; Nahtik Marine Protected Area",Nahtik Marine Sanctuary and Enipein Marine Park,6.777,158.213,,"Bradley N. Phillip, MPA Network Coordinator, Conservation Society of Pohnpei, cspmarine@mail.fm; Eugene Joseph, Marine Program Manager, Conservation Society of Pohnpei, cspmarine@mail.fmugn@mail.fm",FSM
14,Asia,Southeast Asia,Philippines,Locally Managed Marine Area,LMMA,2001,Lobo; Lobo,Batangas,13.652,121.358,,Daisy Delgado  Email: floresalgado@gmail.com; Melchor Deocadez:  deocadez@upmsi.ph; Manuel Mejia  Emal: manuel@earthrestore.org,PHL
